"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Nov 27 10:58:03 CST 2023","Mon Nov 27 10:58:03 CST 2023","74","","test_job","TestFileManagement","","","移动场景测试：相同文件夹名称，文件夹从第三层级移动到第二层级","
        home目录下新建文件夹/LYJ123/LYJ123/LYJ123，
        将文件夹/LYJ123/LYJ123/移动到第二层级，
        选择覆盖选中，
        预期：移动失败，提示：目标路径不能与源文件路径一致
        "
"failed","Mon Nov 27 10:58:05 CST 2023","Mon Nov 27 10:58:06 CST 2023","225","","test_job","TestJobSubmit","","","云端作业批量提交","
        设置主文件--从我的文件/test-submit(请勿删除！！！)链接文件
        参数配置
        云端作业单个提交
        "
"passed","Mon Nov 27 10:57:31 CST 2023","Mon Nov 27 10:57:33 CST 2023","2463","","test_job","TestLocalApp","","","删除本地应用","
        删除应用
        "
"passed","Mon Nov 27 10:57:35 CST 2023","Mon Nov 27 10:57:35 CST 2023","86","","test_job","TestUserStatistics","","","用户-统计总览-按照计算类型：“本地”过滤","
        [用户]-[统计总览]
        按照计算类型：“本地”过滤查询用户数据
        "
"passed","Mon Nov 27 10:57:33 CST 2023","Mon Nov 27 10:57:34 CST 2023","113","","test_job","TestLocalApp","","","添加本地应用时：镜像名和可执行文件路径为空","
        不输入镜像名
        不输入可执行文件路径
        "
"passed","Mon Nov 27 10:57:35 CST 2023","Mon Nov 27 10:57:36 CST 2023","100","","test_job","TestReport","","","CPU平均利用率","
        CPU平均利用率
        "
"broken","Mon Nov 27 10:58:02 CST 2023","Mon Nov 27 10:58:02 CST 2023","70","","test_job","TestFileManagement","","","删除文件","
        删除文件：/test-mkdir/bluntbody.sim
        "
"passed","Mon Nov 27 10:57:35 CST 2023","Mon Nov 27 10:57:35 CST 2023","133","","test_job","TestJobBillings","","","按照“作业编号”过滤","
        按照作业编号：“4ZsWyGdax39”过滤查询账单数据
        "
"passed","Mon Nov 27 10:57:35 CST 2023","Mon Nov 27 10:57:35 CST 2023","87","","test_job","TestUserStatistics","","","用户-统计总览-按照计算类型：“远算云”过滤","
        [用户]-[统计总览]
        按照计算类型：“远算云”过滤查询用户数据
        "
"passed","Mon Nov 27 10:58:02 CST 2023","Mon Nov 27 10:58:02 CST 2023","112","","test_job","TestFileManagement","","","下载文件","
       下载文件：/test-mkdir/bluntbody.sim
        "
"passed","Mon Nov 27 10:57:34 CST 2023","Mon Nov 27 10:57:34 CST 2023","446","","test_job","TestCloudApp","","","取消发布云应用","
        取消发布云应用
        "
"passed","Mon Nov 27 10:58:04 CST 2023","Mon Nov 27 10:58:04 CST 2023","83","","test_job","TestJobManagement","","","按照“计算状态”过滤","
        按照计算状态查询数据
        选择计算状态：已完成
        "
"passed","Mon Nov 27 10:57:37 CST 2023","Mon Nov 27 10:58:01 CST 2023","24605","","test_job","TestLicenseManage","","","许可证管理","
        添加许可证
        "
"passed","Mon Nov 27 10:58:04 CST 2023","Mon Nov 27 10:58:04 CST 2023","79","","test_job","TestJobManagement","","","按照“队列名称”过滤","
        按照队列名称查询数据
        选择队列名称：cloud
        "
"passed","Mon Nov 27 10:57:34 CST 2023","Mon Nov 27 10:57:34 CST 2023","301","","test_job","TestCloudApp","","","发布云应用","
        发布云应用
        "
"failed","Mon Nov 27 10:58:03 CST 2023","Mon Nov 27 10:58:03 CST 2023","76","","test_job","TestFileManagement","","","移动场景测试：将文件夹从第二层级移动到第一层级",""
